Age,Attrition,BusinessTravel,DistanceFromHome,Education,EmployeeID,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,AvgWorkingHours,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
45,0,1,17,2,11,1,2,79910,0.0,13,2,21.0,2,20,4,10,2,3,3.0,4.0,3.0,8.403485476944445,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
36,0,1,28,1,12,1,1,33770,0.0,12,2,16.0,2,15,10,11,3,3,2.7236031927023947,4.0,3.0,7.068954587222223,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
55,0,1,14,4,13,0,1,55380,0.0,17,0,37.0,2,36,4,13,3,3,4.0,1.0,3.0,9.301409509722221,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
47,1,0,1,1,14,1,1,57620,1.0,11,2,10.0,4,10,9,9,2,3,1.0,2.0,2.0,9.399931441944446,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
28,0,1,1,3,15,1,1,25920,1.0,14,0,5.0,2,5,0,4,3,3,4.0,4.0,2.0,6.089687643888889,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37,0,1,1,3,16,1,2,53460,4.0,11,0,7.0,2,5,0,1,3,3,3.0,4.0,4.0,6.7051746363888896,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,0,1,3,2,17,1,1,42130,1.0,12,3,3.0,3,3,1,0,2,3,4.0,3.0,4.0,6.619040626388889,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
37,0,0,1,3,18,1,2,41270,2.0,13,1,15.0,2,5,0,2,3,3,1.0,4.0,3.0,11.014328138888889,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35,0,1,7,4,19,1,1,24380,7.0,16,0,10.0,5,7,6,2,2,3,2.0,2.0,2.0,6.960253831388889,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,0,1,8,3,20,0,1,68700,1.0,11,1,8.0,5,8,7,7,3,3,1.0,1.0,3.0,9.293555795833333,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,0,2,1,4,21,1,2,104470,1.0,18,0,6.0,3,6,1,4,3,3,3.0,2.0,1.0,7.590778256666667,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
50,0,1,8,4,22,1,1,96670,3.0,23,0,28.0,2,10,1,6,2,4,1.0,2.0,2.0,6.008613495277777,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,0,1,11,4,23,0,2,21480,3.0,11,0,21.0,2,5,1,3,3,3,3.0,3.0,2.0,8.402108476944445,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
42,0,1,4,4,24,1,1,89260,1.0,14,0,11.279936378095888,4,20,11,6,1,3,2.0,3.0,3.0,6.80700528,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29,0,2,16,4,25,1,1,65130,1.0,11,1,10.0,2,10,0,9,3,3,2.0,4.0,2.0,7.093167388055556,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
55,0,1,1,4,26,0,1,67990,3.0,11,0,12.0,2,10,0,8,3,3,2.0,4.0,3.0,9.362002074444444,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
26,0,2,9,3,27,0,1,162910,1.0,22,0,5.0,3,5,3,3,3,4,1.0,1.0,3.0,10.977123430833334,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
37,0,1,5,1,28,1,1,27050,1.0,11,0,17.0,2,17,5,7,3,3,4.0,4.0,3.0,7.604444444444445,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
44,1,2,1,2,29,1,2,103330,3.0,14,1,19.0,2,1,0,0,2,3,4.0,3.0,1.0,10.977585733611113,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
38,0,1,2,3,30,0,1,44480,9.0,12,0,10.0,3,2,1,2,2,3,4.0,4.0,3.0,6.831275362222223,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
26,1,1,4,3,31,1,3,68540,2.0,11,0,5.0,5,3,0,2,2,3,1.0,2.0,3.0,10.109408263055554,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
28,0,1,7,3,32,1,1,96370,1.0,13,0,5.0,6,5,0,2,2,3,4.0,4.0,3.0,6.709665977777778,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
49,0,2,1,1,33,0,2,35910,9.0,13,0,22.0,2,3,1,2,3,3,3.0,1.0,3.0,10.518214624722223,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
36,0,1,5,3,34,1,3,54050,4.0,14,0,10.0,2,8,7,7,3,3,3.0,2.0,3.0,6.182887516944445,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
31,0,2,9,4,35,1,1,46840,1.0,16,1,2.0,4,2,2,2,3,3,4.0,2.0,2.0,6.586388888888889,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26,1,1,8,3,36,1,2,157870,1.0,12,2,8.0,5,8,7,4,3,3,4.0,4.0,3.0,10.272241379166667,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
37,0,2,9,1,37,1,1,15140,1.0,14,0,4.0,3,4,1,2,3,3,2.0,4.0,2.0,9.982733011666665,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
42,0,2,2,2,38,1,3,29560,5.0,13,0,23.0,2,20,4,8,3,3,3.0,2.0,4.0,5.979567632777778,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
18,1,1,1,4,39,1,1,23350,1.0,14,2,0.0,3,0,0,0,2,3,3.0,3.0,3.0,6.775967939166667,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
35,0,1,20,2,40,1,1,51540,0.0,19,0,12.0,2,11,6,9,2,3,3.0,2.0,2.0,7.690160390277778,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
36,0,2,8,3,41,0,3,69620,4.0,12,2,4.0,2,1,0,0,2,3,3.0,2.728246013667426,3.0,7.204732468055556,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
51,0,1,2,3,42,1,2,56750,5.0,13,0,13.0,2,4,1,2,2,3,4.0,2.0,3.0,7.594769503333334,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,0,1,29,1,43,1,1,23790,1.0,12,0,22.0,6,22,0,4,3,3,4.0,2.0,3.0,6.952642332222222,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18,0,1,7,3,44,1,1,38120,1.0,15,0,0.0,3,0,0,0,3,3,4.0,3.0,3.0,7.008878472222222,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28,0,1,9,3,45,1,1,46480,0.0,23,2,9.0,2,8,0,7,2,4,2.0,1.0,3.0,7.201573315,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
31,0,1,8,1,46,1,1,29360,4.0,12,1,10.0,2,8,7,7,3,3,2.0,4.0,2.0,7.1728749999999994,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
39,0,1,5,4,47,0,2,21050,0.0,20,0,19.0,3,18,3,7,3,4,3.0,4.0,2.0,7.6368014183333335,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
36,0,0,5,4,48,1,1,85780,7.0,21,0,11.0,4,9,0,8,3,4,2.0,2.0,3.0,7.832781293888889,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
32,0,1,2,3,49,1,2,27060,1.0,21,1,13.0,4,13,4,8,3,4,4.0,3.0,2.0,6.974765051388888,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
38,0,1,5,2,50,0,3,63840,3.0,19,2,19.0,4,10,0,1,2,3,1.0,2.0,3.0,6.90642422,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
58,0,0,2,3,51,1,2,39680,2.0,13,2,12.0,3,5,1,2,2,3,4.0,3.0,3.0,10.895463728055555,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,0,1,20,1,52,0,3,99070,0.0,13,1,6.0,3,5,0,3,2,3,3.0,4.0,3.0,9.125665728888888,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
31,0,1,7,4,53,1,2,132250,3.0,21,1,9.0,2,2,1,0,3,4,1.0,1.0,3.0,6.831459786111111,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
45,0,2,3,1,54,0,1,35400,1.0,13,0,24.0,6,24,9,11,3,3,1.0,1.0,3.0,7.316049905833333,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,0,1,16,4,55,0,2,28040,0.0,19,2,3.0,0,2,2,2,3,3,3.0,4.0,1.0,8.610798041666667,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
33,0,2,9,3,56,1,4,193920,6.0,12,1,12.0,3,10,8,8,3,3,4.0,2.0,3.0,6.784845288055556,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
39,0,1,1,4,57,1,1,196650,1.0,22,1,21.0,6,21,11,10,3,4,3.0,1.0,3.0,10.986099773055555,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
43,0,2,7,4,58,1,4,24390,0.0,15,0,9.0,2,8,1,7,3,3,3.0,4.0,3.0,7.686584679166667,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
49,0,1,1,3,59,1,3,73140,7.0,22,0,25.0,2,7,0,7,3,4,3.0,3.0,3.0,9.948856881388888,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
52,1,1,7,1,60,0,2,47740,2.0,18,1,11.0,2,8,7,7,3,3,3.0,2.0,2.0,7.90552766138889,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27,0,1,15,4,61,1,3,39020,1.0,22,0,4.0,2,4,1,2,3,4,3.0,2.0,2.0,10.672414617222223,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
32,0,1,1,3,62,1,3,26620,1.0,11,1,13.0,6,13,11,9,4,3,3.0,2.0,3.0,10.496171548055557,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27,0,1,13,2,63,0,4,28560,1.0,12,2,5.0,5,5,0,4,4,3,4.0,3.0,3.0,10.069261664166667,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
31,0,1,24,3,64,1,2,10810,4.0,11,3,13.0,4,7,1,7,4,3,4.0,4.0,3.0,6.607014174444444,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,1,7,3,65,1,2,24720,7.0,13,0,10.0,2,7,0,7,3,3,1.0,4.0,2.0,7.497914908333334,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28,1,1,9,4,66,1,1,56730,5.0,14,1,5.0,4,3,2,2,2,3,1.0,4.0,2.0,10.727235717222223,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
30,0,1,13,3,67,0,4,41970,1.0,13,0,11.0,3,10,1,9,3,3,4.0,4.0,3.0,6.184816810277778,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31,0,2,2,1,68,0,1,97130,1.0,17,0,10.0,5,10,8,9,2,3,3.0,3.0,3.0,6.60930004888889,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39,0,2,19,4,69,0,1,20620,1.0,13,0,21.0,4,21,13,3,3,3,3.0,4.0,3.0,6.0762463449999995,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
39,1,1,1,1,70,0,1,42840,4.0,17,1,12.0,0,1,0,0,3,3,4.0,3.0,2.0,9.971745708888887,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
33,0,2,4,2,71,1,4,47880,3.0,11,1,9.0,0,7,0,1,3,3,2.0,4.0,2.0,7.42145202,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
47,0,1,4,3,72,0,2,59060,4.0,23,0,21.0,4,3,1,1,4,4,4.0,3.0,3.0,6.49381001361111,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,0,2,14,3,73,0,5,38860,1.0,17,2,9.0,2,9,0,0,3,3,3.0,3.0,4.0,6.299470449166666,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
27,0,0,2,3,74,1,1,168230,0.0,17,0,6.0,3,5,1,4,3,3,3.0,2.0,3.0,9.316973304444444,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
54,0,2,1,4,75,1,2,29330,3.0,12,2,20.0,2,4,0,3,3,3,4.0,3.0,2.0,6.097862787222223,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
43,0,1,7,2,76,0,2,65000,8.0,23,0,10.0,3,1,0,0,3,4,3.0,1.0,2.0,7.217327264166667,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45,0,1,3,1,77,0,1,171740,9.0,14,1,12.0,6,10,9,8,3,3,4.0,4.0,3.0,7.100070018333334,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
40,0,1,2,4,78,1,4,50330,2.0,14,2,6.0,6,4,0,2,3,3,2.0,4.0,2.0,9.91410774388889,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
29,1,1,29,3,79,0,1,23070,1.0,13,1,7.0,0,7,0,7,3,3,2.0,1.0,2.0,10.477788647222221,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
29,0,1,8,3,80,1,3,25870,0.0,22,2,4.0,3,3,2,2,3,4,2.0,4.0,3.0,6.906938633055556,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
30,0,1,10,3,81,1,2,55070,1.0,12,2,10.0,2,10,1,2,2,3,4.0,3.0,3.0,7.589092432777777,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,0,1,11,2,82,1,1,43930,1.0,18,1,8.0,2,8,0,7,2,3,2.0,2.0,3.0,6.079724498888889,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
37,0,1,1,4,83,1,2,133480,7.0,14,0,8.0,4,6,0,4,3,3,4.0,4.0,2.0,6.001112288055555,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,1,28,4,84,1,1,65830,0.0,12,0,12.0,1,11,2,9,3,3,3.0,4.0,3.0,8.983123278055556,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
31,0,1,6,3,85,0,3,81030,1.0,15,1,11.0,5,11,4,10,3,3,3.0,4.0,2.7614364135407135,10.426184640277778,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
29,0,1,3,4,86,1,3,39780,1.0,11,0,7.0,0,7,1,7,3,3,4.0,2.0,3.0,8.38752618388889,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,0,1,16,2,87,1,3,25440,0.0,13,1,17.0,3,16,0,13,4,3,3.0,2.0,3.0,7.912038626388889,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
23,0,1,20,4,88,1,1,53990,1.0,23,0,4.0,2,4,0,2,2,4,3.0,4.0,2.0,7.105291842222222,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,0,1,9,2,89,0,1,54870,6.0,19,2,8.0,0,5,1,2,3,3,4.0,2.0,3.0,9.68863319361111,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
47,0,2,1,3,90,0,2,68340,3.0,16,1,5.0,2,0,0,0,4,3,2.0,3.0,3.0,7.770347512777778,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
42,0,1,3,4,91,1,1,10910,2.0,22,0,16.0,0,1,0,0,1,4,1.0,4.0,3.0,6.284280356111111,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
29,0,0,22,4,92,1,2,57360,1.0,22,0,4.0,1,4,0,2,2,4,4.0,3.0,2.0,6.306108726666666,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
42,0,1,7,4,93,1,3,22260,0.0,12,1,4.0,3,3,1,0,2,3,3.0,3.0,3.0,8.831585038888889,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
32,0,1,2,3,94,1,2,57470,1.0,13,0,8.0,0,8,0,7,3,3,3.0,2.0,3.0,7.722377344722222,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
48,0,1,13,4,95,1,4,98540,3.0,16,1,15.0,2,0,0,0,2,3,1.0,3.0,1.0,7.3174797327777785,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
37,0,1,8,5,96,1,2,54670,4.0,12,0,13.0,2,7,6,7,3,3,3.0,1.0,3.0,10.798262483055554,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
30,0,0,25,4,97,1,1,53800,7.0,21,1,4.0,0,2,2,2,3,4,4.0,3.0,4.0,10.401363945555556,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26,0,1,28,3,98,0,5,51510,1.0,15,3,8.0,3,8,7,7,3,3,3.0,3.0,3.0,5.994326703055556,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
42,0,1,2,2,99,0,1,21330,3.0,13,2,14.0,2,1,0,0,3,3,1.0,4.0,3.0,6.113110181111111,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
21,1,2,9,3,100,0,4,178750,1.0,12,0,3.0,5,3,1,2,2,3,1.0,2.0,3.0,8.13357809638889,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
36,0,0,28,3,101,1,2,24320,4.0,22,0,7.0,4,1,0,0,1,4,4.0,4.0,3.0,7.306164990277777,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36,0,2,6,3,102,0,2,47710,4.0,13,1,16.0,2,13,1,12,3,3,1.0,4.0,3.0,7.105030345277777,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
57,0,1,21,4,103,1,5,191610,2.0,18,0,15.0,2,3,1,2,1,3,4.0,3.0,3.0,6.327729314166667,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
40,0,1,8,3,104,1,2,50870,3.0,14,1,10.0,3,7,1,7,3,3,4.0,3.0,3.0,8.12851216,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
21,0,0,1,5,105,0,2,28630,1.0,14,0,3.0,2,3,2,2,1,3,1.0,4.0,2.0,7.986432556944444,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33,1,1,28,2,106,0,5,55610,1.0,21,1,1.0,3,1,0,0,1,4,4.0,3.0,3.0,10.509096921388888,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
37,0,1,5,3,107,1,4,21440,6.0,19,0,17.0,3,5,0,3,4,3,3.0,1.0,3.0,7.993284030555556,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
46,0,0,2,4,108,0,2,30650,2.0,11,0,7.0,3,1,0,0,3,3,3.0,3.0,4.0,6.103653752222222,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
41,1,2,16,1,109,0,1,28100,1.0,11,0,8.0,3,8,7,7,4,3,1.0,2.0,3.0,7.5879089175,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
50,0,1,9,3,110,0,3,98880,6.0,15,0,20.0,2,4,1,3,3,3,4.0,4.0,3.0,6.890321255833333,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
40,1,1,8,3,111,0,1,86280,2.0,20,0,8.0,2,6,1,0,2,4,3.0,3.0,3.0,9.295999525000001,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
31,0,1,1,3,112,1,4,28670,0.0,24,0,3.0,5,2,2,2,3,4,2.7236031927023947,2.0,3.0,10.806078364722222,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
21,1,1,10,2,113,1,1,53730,1.0,12,1,1.0,2,1,0,0,3,3,3.0,2.0,3.0,5.995219806666666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
29,0,1,1,3,114,0,2,66670,9.0,12,1,6.0,6,3,1,2,4,3,4.0,4.0,3.0,7.788609977222222,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,0,1,29,3,115,0,3,50030,9.0,15,0,10.0,2,1,0,0,3,3,3.0,2.0,3.0,7.717707156111111,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
27,0,1,2,3,116,1,1,23670,2.6948303347756775,12,1,5.0,2,5,0,4,3,3,4.0,2.0,3.0,6.1894503797222225,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,0,1,2,2,117,1,3,28580,1.0,12,0,7.0,2,7,0,7,2,3,2.0,4.0,3.0,7.1206142238888885,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
49,0,1,2,3,118,1,2,52040,8.0,14,1,26.0,3,5,0,0,3,3,2.0,3.0,3.0,7.825193286944445,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
51,0,1,1,2,119,1,1,41050,4.0,22,1,18.0,2,7,0,7,3,4,3.0,4.0,2.0,7.619401803055555,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
36,0,1,15,2,120,1,1,96790,4.0,12,0,6.0,1,2,2,2,3,3,4.0,3.0,3.0,6.002463200277778,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
34,1,0,7,3,121,1,1,56170,8.0,25,1,9.0,3,5,0,4,3,4,1.0,4.0,2.0,9.113126477500002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
55,0,1,26,3,122,1,1,104480,2.0,13,0,30.0,3,5,1,2,3,3,3.0,4.0,3.0,8.684139595,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
24,0,1,1,3,123,0,5,28970,1.0,18,3,5.0,4,5,0,3,3,3,4.0,3.0,4.0,9.9931316425,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,0,1,3,3,124,0,2,59680,1.0,13,0,1.0,3,1,0,0,3,3,3.0,2.0,3.0,6.900539922777778,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26,1,2,14,3,125,1,2,75100,0.0,18,3,7.0,3,6,0,4,3,3,3.0,2.728246013667426,3.0,6.999357638888889,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
22,0,1,16,5,126,1,1,29910,1.0,19,2,2.0,3,2,1,2,2,3,1.0,2.0,3.0,6.286230158611112,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
36,0,1,1,3,127,0,5,196360,1.0,12,1,10.0,3,10,9,0,3,3,2.0,3.0,3.0,6.366151129722223,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30,1,2,3,2,128,1,3,11290,9.0,19,0,3.0,2,1,0,0,2,3,3.0,4.0,3.0,8.191660879444445,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
37,0,1,10,1,129,1,1,133410,1.0,14,1,18.0,3,18,12,17,3,3,4.0,1.0,2.0,6.452089120277777,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
40,0,1,6,2,130,1,3,43320,7.0,14,2,8.0,3,5,1,3,2,3,4.0,2.0,3.0,6.682986714722222,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
42,0,1,2,3,131,0,4,110310,3.0,12,1,8.0,2,5,1,2,2,3,2.0,1.0,3.0,7.482647753888888,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
37,0,1,9,1,132,1,3,44400,2.0,11,1,18.0,3,1,0,1,2,3,3.0,2.0,2.0,9.920131519166667,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
43,0,1,10,2,133,0,1,46170,1.0,11,0,25.0,2,25,3,9,3,3,1.0,2.0,3.0,7.415638297777778,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,0,1,6,2,134,0,1,26470,6.0,13,0,20.0,2,1,0,0,2,3,2.0,3.0,3.0,7.49533846861111,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
54,0,1,9,3,135,0,2,63230,4.0,23,1,24.0,2,4,1,2,2,4,1.0,1.0,2.0,5.998969652222222,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34,0,0,28,3,136,1,1,56770,9.0,20,1,6.0,3,3,1,2,3,4,3.0,3.0,3.0,6.859545346388889,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
